district_name,region_name
Derby,Derby
Leicester,Leicester
Nottingham,Nottingham
Amber Valley,Derbyshire
Bolsover,Derbyshire
Chesterfield,Derbyshire
Derbyshire Dales,Derbyshire
Erewash,Derbyshire
High Peak,Derbyshire
North East Derbyshire,Derbyshire
South Derbyshire,Derbyshire
Blaby,Leicestershire
Charnwood,Leicestershire
Harborough,Leicestershire
Hinckley and Bosworth,Leicestershire
Melton,Leicestershire
North West Leicestershire,Leicestershire
Oadby and Wigston,Leicestershire
Ashfield,Nottinghamshire
Bassetlaw,Nottinghamshire
Broxtowe,Nottinghamshire
Gedling,Nottinghamshire
Mansfield,Nottinghamshire
Newark and Sherwood,Nottinghamshire
Rushcliffe,Nottinghamshire
